Lattice ID,Length of the first vector,Root Hermite Factor,Orthogonality Defect,Run time,Lattice dimension
0,588.8565190264943,1.0063215262648992,2.370005659863491,16.997111082077026,100
1,568.019365867045,1.0062403602360324,2.424035391864667,136.3367476463318,100
2,570.7460030521457,1.0061937732074326,2.3781870263409375,163.60542821884155,100
3,579.668008432413,1.0062955186178162,2.3204079195663603,26.271920680999756,100
4,570.6505060017033,1.0063103341051298,2.400392340410643,30.5831401348114,100
5,541.5884046026097,1.0056912609737492,2.401415691180669,18.60638117790222,100
6,561.9697500755713,1.0062166993190191,2.401061557921331,210.44956016540527,100
7,562.4419970094694,1.0063382538862597,2.3939887433778297,358.14210271835327,100
8,572.4465040508152,1.0062494880134787,2.34883757870466,52.882113218307495,100
9,571.122578786726,1.0060973067083214,2.3710366251288466,81.89387536048889,100
